x,y
-10.000000,99.128986
-9.500000,90.655080
-9.000000,80.979901
-8.500000,71.879103
-8.000000,64.562919
-7.500000,55.995520
-7.000000,48.187953
-6.500000,42.446219
-6.000000,35.631132
-5.500000,30.895935
-5.000000,24.698277
-4.500000,20.463609
-4.000000,16.972099
-3.500000,11.688531
-3.000000,8.449649
-2.500000,6.379038
-2.000000,3.791335
-1.500000,1.427727
-1.000000,0.427537
-0.500000,-0.212356
0.000000,0.863619
0.500000,-0.471571
1.000000,0.008220
1.500000,2.806214
2.000000,4.068521
2.500000,6.495927
3.000000,9.328174
3.500000,13.145738
4.000000,16.729651
4.500000,21.077272
5.000000,24.567172
5.500000,30.535607
6.000000,36.482259
6.500000,41.389725
7.000000,49.393970
7.500000,55.672285
8.000000,64.292295
8.500000,72.870534
9.000000,81.913166
9.500000,90.663417
10.000000,100.595812
