x,y
-10.000000,100.237364
-9.500000,90.541619
-9.000000,81.593841
-8.500000,72.677039
-8.000000,62.635228
-7.500000,56.372586
-7.000000,49.165685
-6.500000,43.929396
-6.000000,35.020741
-5.500000,30.225745
-5.000000,25.352457
-4.500000,19.129739
-4.000000,16.593583
-3.500000,12.466859
-3.000000,7.733084
-2.500000,7.870013
-2.000000,3.462376
-1.500000,2.968521
-1.000000,-0.045110
-0.500000,0.513800
0.000000,1.266725
0.500000,-1.702493
1.000000,2.964063
1.500000,2.671479
2.000000,4.615856
2.500000,6.590182
3.000000,9.455234
3.500000,10.989499
4.000000,16.154716
4.500000,20.724458
5.000000,26.746820
5.500000,28.688813
6.000000,34.154367
6.500000,43.701664
7.000000,48.727263
7.500000,57.168710
8.000000,65.654439
8.500000,74.004668
9.000000,82.759237
9.500000,91.188391
10.000000,98.112897
