x,y
-10.000000,77.200251
-9.500000,73.055637
-9.000000,69.229460
-8.500000,65.496313
-8.000000,62.036275
-7.500000,58.641911
-7.000000,51.490513
-6.500000,44.792061
-6.000000,38.492845
-5.500000,32.726531
-5.000000,27.437087
-4.500000,22.691252
-4.000000,18.440323
-3.500000,14.620443
-3.000000,11.361944
-2.500000,8.631733
-2.000000,6.343565
-1.500000,4.483984
-1.000000,3.196177
-0.500000,2.503448
0.000000,2.325837
0.500000,2.593941
1.000000,3.444341
1.500000,4.835425
2.000000,6.712674
2.500000,8.965358
3.000000,11.662811
3.500000,15.022250
4.000000,18.784205
4.500000,23.019456
5.000000,27.710707
5.500000,32.964923
6.000000,38.741501
6.500000,44.993085
7.000000,51.714337
7.500000,58.943295
8.000000,62.380907
8.500000,65.919274
9.000000,69.598900
9.500000,73.628783
10.000000,77.667918
