x,y
-10.000000,78.280081
-9.500000,74.364970
-9.000000,70.723907
-8.500000,66.716837
-8.000000,62.884072
-7.500000,59.342003
-7.000000,51.726380
-6.500000,44.897370
-6.000000,38.840127
-5.500000,33.008973
-5.000000,27.645957
-4.500000,22.961669
-4.000000,18.763827
-3.500000,14.883137
-3.000000,11.826496
-2.500000,9.095957
-2.000000,7.167678
-1.500000,5.560537
-1.000000,4.566204
-0.500000,3.636981
0.000000,3.324417
0.500000,3.604584
1.000000,4.261685
1.500000,5.558965
2.000000,7.125047
2.500000,9.355524
3.000000,12.412171
3.500000,15.231646
4.000000,19.152407
4.500000,23.261827
5.000000,27.797370
5.500000,33.267953
6.000000,38.945179
6.500000,44.793656
7.000000,51.286898
7.500000,58.735933
8.000000,62.052279
8.500000,65.394045
9.000000,69.352743
9.500000,73.159639
10.000000,77.288777
