date,ticker,open,high,low,close,volume,date,Price_Increase,consc Increas,2day,dollowed by 3 more increase,3day,follow by 2 more
9/23/2020,AVAX,5.32165397,5.32930962,3.98260404,4.11846862,173091214.4,2020,0,0,0,0,0,0
9/24/2020,AVAX,3.81792536,4.7518783,3.53988692,4.56656107,96110963.56,2020,1,0,0,0,0,0
9/25/2020,AVAX,4.61402804,4.95867258,4.24079849,4.71227917,55854396.78,2020,1,0,0,0,0,0
9/26/2020,AVAX,4.71373648,4.81775221,4.37677358,4.53924857,27304545.98,2020,0,1,0,0,0,0
9/27/2020,AVAX,4.53528875,4.69547225,4.13801226,4.62553553,23243191.66,2020,1,1,0,0,0,0
9/28/2020,AVAX,4.63600884,4.64236705,4.20480313,4.20480313,20624309.65,2020,0,0,0,0,0,0
9/29/2020,AVAX,4.20590558,4.28064063,3.97066231,4.14295087,16706916.81,2020,0,2,0,0,0,0
9/30/2020,AVAX,4.14329318,4.39227781,4.01505614,4.32254623,16932875.58,2020,1,0,1,0,0,0
10/1/2020,AVAX,4.32427861,4.49329163,4.05929393,4.15109018,23903200.93,2020,0,0,0,0,0,0
10/2/2020,AVAX,4.14960395,4.20649217,3.69385177,3.92715641,30467406.07,2020,0,1,0,0,0,0
10/3/2020,AVAX,3.92574773,4.1661555,3.88023862,4.02165954,11967393.66,2020,1,0,0,0,0,0
10/4/2020,AVAX,4.02298282,4.06501609,3.85581733,3.96110965,12949575.33,2020,0,0,0,0,0,0
10/5/2020,AVAX,3.96058635,4.03636165,3.88612272,3.97801988,8980051.25,2020,1,1,0,0,0,0
10/6/2020,AVAX,3.98250364,3.98250364,3.51910221,3.53765781,15048997.78,2020,0,0,0,0,0,0
10/7/2020,AVAX,3.53880902,3.54297993,3.2302658,3.44681826,15674565.65,2020,0,2,0,0,0,0
10/8/2020,AVAX,3.44815649,3.92556412,3.34242517,3.90427907,15215458.15,2020,1,0,1,0,0,0
10/9/2020,AVAX,3.91157435,4.27915711,3.81881726,4.23530482,13043373.34,2020,1,0,0,0,0,0
10/10/2020,AVAX,4.24196307,4.25098879,4.01629356,4.0267045,14539710.75,2020,0,1,0,0,0,0
10/11/2020,AVAX,4.02243483,4.15848307,3.97083903,4.09587934,11454884.93,2020,1,1,0,0,0,0
10/12/2020,AVAX,4.09250328,4.68679947,4.05172178,4.41573976,14445437.22,2020,1,0,0,0,0,0
10/13/2020,AVAX,4.41315023,4.54139188,4.33464584,4.48805379,14050397.56,2020,1,2,0,0,0,0
10/14/2020,AVAX,4.48389387,4.48544775,4.02253581,4.15005578,10004481.35,2020,0,1,1,0,0,0
10/15/2020,AVAX,4.15292787,4.2135414,4.01629039,4.12735307,6998969.66,2020,0,3,0,0,0,0
